,MD,Well
34,5773.69625,OLDHAM 39 2
35,5788.3931250000005,OLDHAM 39 2
36,5803.09,OLDHAM 39 2
37,5817.267272727273,OLDHAM 39 2
38,5831.444545454546,OLDHAM 39 2
39,5845.6218181818185,OLDHAM 39 2
40,5859.799090909091,OLDHAM 39 2
41,5873.976363636364,OLDHAM 39 2
42,5888.153636363636,OLDHAM 39 2
43,5902.330909090909,OLDHAM 39 2
44,5916.508181818182,OLDHAM 39 2
45,5930.685454545454,OLDHAM 39 2
46,5944.862727272727,OLDHAM 39 2
47,5959.04,OLDHAM 39 2
48,5973.217272727273,OLDHAM 39 2
49,5987.394545454546,OLDHAM 39 2
50,6001.571818181818,OLDHAM 39 2
51,6015.749090909091,OLDHAM 39 2
52,6029.926363636364,OLDHAM 39 2
53,6044.103636363636,OLDHAM 39 2
54,6058.280909090909,OLDHAM 39 2
55,6072.458181818181,OLDHAM 39 2
56,6086.635454545454,OLDHAM 39 2
57,6100.812727272727,OLDHAM 39 2
58,6114.99,OLDHAM 39 2
59,6129.048333333333,OLDHAM 39 2
60,6143.106666666667,OLDHAM 39 2
61,6157.165,OLDHAM 39 2
62,6171.223333333333,OLDHAM 39 2
63,6185.281666666667,OLDHAM 39 2
64,6199.34,OLDHAM 39 2
65,6214.471111111111,OLDHAM 39 2
66,6229.602222222223,OLDHAM 39 2
67,6244.733333333334,OLDHAM 39 2
68,6259.864444444444,OLDHAM 39 2
69,6274.995555555555,OLDHAM 39 2
70,6290.126666666667,OLDHAM 39 2
71,6305.257777777778,OLDHAM 39 2
72,6320.388888888889,OLDHAM 39 2
73,6335.52,OLDHAM 39 2
74,6350.651111111111,OLDHAM 39 2
75,6365.782222222222,OLDHAM 39 2
76,6380.913333333333,OLDHAM 39 2
77,6396.044444444445,OLDHAM 39 2
78,6411.175555555556,OLDHAM 39 2
79,6426.306666666666,OLDHAM 39 2
80,6441.437777777777,OLDHAM 39 2
81,6456.568888888889,OLDHAM 39 2
82,6471.7,OLDHAM 39 2
83,6485.74,OLDHAM 39 2
84,6499.78,OLDHAM 39 2
85,6513.82,OLDHAM 39 2
86,6527.860000000001,OLDHAM 39 2
87,6541.900000000001,OLDHAM 39 2
88,6555.9400000000005,OLDHAM 39 2
89,6569.9800000000005,OLDHAM 39 2
90,6584.02,OLDHAM 39 2
91,6598.601176470589,OLDHAM 39 2
92,6613.182352941177,OLDHAM 39 2
93,6627.763529411765,OLDHAM 39 2
94,6642.344705882353,OLDHAM 39 2
95,6656.925882352942,OLDHAM 39 2
96,6671.507058823529,OLDHAM 39 2
97,6686.088235294118,OLDHAM 39 2
98,6700.669411764706,OLDHAM 39 2
99,6715.250588235294,OLDHAM 39 2
100,6729.831764705882,OLDHAM 39 2
101,6744.412941176471,OLDHAM 39 2
102,6758.994117647058,OLDHAM 39 2
103,6773.575294117647,OLDHAM 39 2
104,6788.156470588235,OLDHAM 39 2
105,6802.737647058823,OLDHAM 39 2
106,6817.318823529411,OLDHAM 39 2
107,6831.9,OLDHAM 39 2
108,6847.020952380952,OLDHAM 39 2
109,6862.141904761905,OLDHAM 39 2
110,6877.262857142857,OLDHAM 39 2
111,6892.383809523809,OLDHAM 39 2
112,6907.504761904762,OLDHAM 39 2
113,6922.625714285714,OLDHAM 39 2
114,6937.746666666666,OLDHAM 39 2
115,6952.867619047619,OLDHAM 39 2
116,6967.988571428571,OLDHAM 39 2
117,6983.109523809523,OLDHAM 39 2
118,6998.230476190476,OLDHAM 39 2
119,7013.351428571428,OLDHAM 39 2
120,7028.47238095238,OLDHAM 39 2
121,7043.593333333333,OLDHAM 39 2
122,7058.714285714285,OLDHAM 39 2
123,7073.835238095237,OLDHAM 39 2
124,7088.95619047619,OLDHAM 39 2
125,7104.0771428571425,OLDHAM 39 2
126,7119.1980952380945,OLDHAM 39 2
127,7134.3190476190475,OLDHAM 39 2
128,7149.44,OLDHAM 39 2
129,7167.14212121212,OLDHAM 39 2
130,7184.844242424242,OLDHAM 39 2
131,7202.546363636363,OLDHAM 39 2
132,7220.248484848485,OLDHAM 39 2
133,7237.950606060605,OLDHAM 39 2
134,7255.652727272727,OLDHAM 39 2
135,7273.354848484848,OLDHAM 39 2
136,7291.05696969697,OLDHAM 39 2
137,7308.75909090909,OLDHAM 39 2
138,7326.461212121212,OLDHAM 39 2
139,7344.163333333333,OLDHAM 39 2
140,7361.865454545454,OLDHAM 39 2
141,7379.5675757575755,OLDHAM 39 2
142,7397.269696969696,OLDHAM 39 2
143,7414.971818181818,OLDHAM 39 2
144,7432.673939393939,OLDHAM 39 2
145,7450.3760606060605,OLDHAM 39 2
146,7468.078181818181,OLDHAM 39 2
147,7485.780303030303,OLDHAM 39 2
148,7503.482424242424,OLDHAM 39 2
149,7521.1845454545455,OLDHAM 39 2
150,7538.886666666666,OLDHAM 39 2
151,7556.588787878787,OLDHAM 39 2
152,7574.290909090909,OLDHAM 39 2
153,7591.99303030303,OLDHAM 39 2
154,7609.695151515151,OLDHAM 39 2
155,7627.397272727272,OLDHAM 39 2
156,7645.099393939394,OLDHAM 39 2
157,7662.801515151515,OLDHAM 39 2
158,7680.503636363636,OLDHAM 39 2
159,7698.205757575757,OLDHAM 39 2
160,7715.907878787879,OLDHAM 39 2
161,7733.61,OLDHAM 39 2
162,7751.856842105263,OLDHAM 39 2
163,7770.103684210526,OLDHAM 39 2
164,7788.3505263157895,OLDHAM 39 2
165,7806.597368421052,OLDHAM 39 2
166,7824.844210526316,OLDHAM 39 2
167,7843.091052631578,OLDHAM 39 2
168,7861.337894736842,OLDHAM 39 2
169,7879.5847368421055,OLDHAM 39 2
170,7897.831578947368,OLDHAM 39 2
171,7916.078421052632,OLDHAM 39 2
172,7934.325263157894,OLDHAM 39 2
173,7952.572105263158,OLDHAM 39 2
174,7970.8189473684215,OLDHAM 39 2
175,7989.065789473684,OLDHAM 39 2
176,8007.312631578948,OLDHAM 39 2
177,8025.55947368421,OLDHAM 39 2
178,8043.806315789474,OLDHAM 39 2
179,8062.053157894737,OLDHAM 39 2
0,5242.25,GRIFFIN 1
1,5258.198,GRIFFIN 1
2,5274.146,GRIFFIN 1
3,5290.094,GRIFFIN 1
4,5306.042,GRIFFIN 1
5,5321.99,GRIFFIN 1
6,5337.938,GRIFFIN 1
7,5353.886,GRIFFIN 1
8,5369.834,GRIFFIN 1
9,5385.782,GRIFFIN 1
10,5401.73,GRIFFIN 1
11,5417.678,GRIFFIN 1
12,5433.626,GRIFFIN 1
13,5449.574,GRIFFIN 1
14,5465.522,GRIFFIN 1
15,5481.47,GRIFFIN 1
16,5497.418,GRIFFIN 1
17,5513.366,GRIFFIN 1
18,5529.314,GRIFFIN 1
19,5545.262,GRIFFIN 1
20,5561.21,GRIFFIN 1
21,5574.936875,GRIFFIN 1
22,5588.66375,GRIFFIN 1
23,5602.390625,GRIFFIN 1
24,5616.1175,GRIFFIN 1
25,5629.844375,GRIFFIN 1
26,5643.57125,GRIFFIN 1
27,5657.298125,GRIFFIN 1
28,5671.025,GRIFFIN 1
29,5684.751875,GRIFFIN 1
30,5698.47875,GRIFFIN 1
31,5712.2056250000005,GRIFFIN 1
32,5725.9325,GRIFFIN 1
33,5739.659375,GRIFFIN 1
34,5753.3862500000005,GRIFFIN 1
35,5767.113125,GRIFFIN 1
36,5780.84,GRIFFIN 1
37,5796.969545454545,GRIFFIN 1
38,5813.099090909091,GRIFFIN 1
39,5829.228636363637,GRIFFIN 1
40,5845.358181818182,GRIFFIN 1
41,5861.487727272727,GRIFFIN 1
42,5877.617272727272,GRIFFIN 1
43,5893.7468181818185,GRIFFIN 1
44,5909.876363636364,GRIFFIN 1
45,5926.005909090909,GRIFFIN 1
46,5942.135454545454,GRIFFIN 1
47,5958.264999999999,GRIFFIN 1
48,5974.394545454546,GRIFFIN 1
49,5990.524090909091,GRIFFIN 1
50,6006.653636363636,GRIFFIN 1
51,6022.783181818181,GRIFFIN 1
