Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2760.124984,3,0,0,0,0,9055.528454
PEL_NQ_APO-1001A,2760.396742,0,0,0,1,0,9056.420048
PEL_NQ_APO-1001A,2760.6216,1,0,0,0,0,9057.157769
PEL_NQ_APO-1001A,2760.639558,0,1,0,0,0,9057.216687
PEL_NQ_APO-1001A,2760.733683,0,0,1,0,0,9057.525495
PEL_NQ_APO-1001A,2760.929503,3,0,0,0,0,9058.167952
PEL_NQ_APO-1001A,2761.455038,1,0,0,0,0,9059.892146
PEL_NQ_APO-1001A,2761.473378,0,1,0,0,0,9059.952318
PEL_NQ_APO-1001A,2761.569506,0,0,1,0,0,9060.267697
PEL_NQ_APO-1001A,2761.653089,0,0,0,1,0,9060.54192
PEL_NQ_APO-1001A,2761.734022,3,0,0,0,0,9060.807449
PEL_NQ_APO-1001A,2762.288476,1,0,0,0,0,9062.626524
PEL_NQ_APO-1001A,2762.307198,0,1,0,0,0,9062.687949
PEL_NQ_APO-1001A,2762.405329,0,0,1,0,0,9063.009899
PEL_NQ_APO-1001A,2762.538541,3,0,0,0,0,9063.446947
PEL_NQ_APO-1001A,2762.909435,0,0,0,1,0,9064.663791
PEL_NQ_APO-1001A,2763.121914,1,0,0,0,0,9065.360902
PEL_NQ_APO-1001A,2763.141019,0,1,0,0,0,9065.42358
PEL_NQ_APO-1001A,2763.241152,0,0,1,0,0,9065.7521
PEL_NQ_APO-1001A,2763.34306,3,0,0,0,0,9066.086444
PEL_NQ_APO-1001A,2763.955353,1,0,0,0,0,9068.095279
PEL_NQ_APO-1001A,2763.974839,0,1,0,0,0,9068.159212
PEL_NQ_APO-1001A,2764.076975,0,0,1,0,0,9068.494302
PEL_NQ_APO-1001A,2764.147579,3,0,0,0,0,9068.725942
PEL_NQ_APO-1001A,2764.165782,0,0,0,1,0,9068.785663
PEL_NQ_APO-1001A,2764.788791,1,0,0,0,0,9070.829657
PEL_NQ_APO-1001A,2764.80866,0,1,0,0,0,9070.894843
PEL_NQ_APO-1001A,2764.912798,0,0,1,0,0,9071.236503
PEL_NQ_APO-1001A,2764.952098,3,0,0,0,0,9071.36544
PEL_NQ_APO-1001A,2765.422128,0,0,0,1,0,9072.907535
PEL_NQ_APO-1001A,2765.622229,1,0,0,0,0,9073.564035
PEL_NQ_APO-1001A,2765.64248,0,1,0,0,0,9073.630474
PEL_NQ_APO-1001A,2765.748621,0,0,1,0,0,9073.978705
PEL_NQ_APO-1001A,2765.756616,3,0,0,0,0,9074.004937
PEL_NQ_APO-1001A,2765.859932,0,0,0,2,0,9074.3439
PEL_NQ_APO-1001A,2766.455668,1,0,0,0,0,9076.298412
PEL_NQ_APO-1001A,2766.4763,0,1,0,0,0,9076.366105
PEL_NQ_APO-1001A,2766.561135,3,0,0,0,0,9076.644435
PEL_NQ_APO-1001A,2766.584444,0,0,1,0,0,9076.720907
PEL_NQ_APO-1001A,2766.678475,0,0,0,1,0,9077.029407
PEL_NQ_APO-1001A,2767.038228,0,3,0,0,0,9078.209701
PEL_NQ_APO-1001A,2767.289106,1,0,0,0,0,9079.03279
PEL_NQ_APO-1001A,2767.310121,0,1,0,0,0,9079.101737
PEL_NQ_APO-1001A,2767.365654,3,0,0,0,0,9079.283932
PEL_NQ_APO-1001A,2767.420267,0,0,1,0,0,9079.463108
PEL_NQ_APO-1001A,2767.934821,0,0,0,1,0,9081.151279
PEL_NQ_APO-1001A,2768.122544,1,0,0,0,0,9081.767168
PEL_NQ_APO-1001A,2768.143941,0,1,0,0,0,9081.837368
PEL_NQ_APO-1001A,2768.170173,3,0,0,0,0,9081.92343
PEL_NQ_APO-1001A,2768.25609,0,0,1,0,0,9082.20531
PEL_NQ_APO-1001A,2768.955982,1,0,0,0,0,9084.501545
PEL_NQ_APO-1001A,2768.974692,3,0,0,0,0,9084.562928
PEL_NQ_APO-1001A,2768.977762,0,1,0,0,0,9084.572999
PEL_NQ_APO-1001A,2769.091913,0,0,1,0,0,9084.947512
PEL_NQ_APO-1001A,2769.163305,0,2,0,0,0,9085.181737
PEL_NQ_APO-1001A,2769.191168,0,0,0,1,0,9085.273151
PEL_NQ_APO-1001A,2769.779211,3,0,0,0,0,9087.202425
PEL_NQ_APO-1001A,2769.789421,1,0,0,0,0,9087.235923
PEL_NQ_APO-1001A,2769.811582,0,1,0,0,0,9087.30863
PEL_NQ_APO-1001A,2769.927736,0,0,1,0,0,9087.689713
PEL_NQ_APO-1001A,2770.447514,0,0,0,1,0,9089.395023
PEL_NQ_APO-1001A,2770.583729,3,0,0,0,0,9089.841923
PEL_NQ_APO-1001A,2770.622859,1,0,0,0,0,9089.970301
PEL_NQ_APO-1001A,2770.645402,0,1,0,0,0,9090.044262
PEL_NQ_APO-1001A,2770.763559,0,0,1,0,0,9090.431915
PEL_NQ_APO-1001A,2771.388248,3,0,0,0,0,9092.48142
PEL_NQ_APO-1001A,2771.456297,1,0,0,0,0,9092.704678
PEL_NQ_APO-1001A,2771.479223,0,1,0,0,0,9092.779893
PEL_NQ_APO-1001A,2771.599382,0,0,1,0,0,9093.174117
PEL_NQ_APO-1001A,2771.703861,0,0,0,1,0,9093.516895
PEL_NQ_APO-1001A,2772.192767,3,0,0,0,0,9095.120918
